Name	Category	Images
Granny-Smith	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Apple/Granny-Smith/Granny-Smith_Iconic.jpg
Pink-Lady	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Apple/Pink-Lady/Pink-Lady_Iconic.jpg
Red-Delicious	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Apple/Red-Delicious/Red-Delicious_Iconic.jpg
Royal-Gala	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Apple/Royal-Gala/Royal-Gala_Iconic.jpg
Avocado	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Avocado/Avocado_Iconic.jpg
Golden-Delicious	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Apple/Golden-Delicious/Golden-Delicious_Iconic.jpg
Kiwi	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Kiwi/Kiwi_Iconic.jpg
Lemon	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Lemon/Lemon_Iconic.jpg
Lime	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Lime/Lime_Iconic.jpg
Mango	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Mango/Mango_Iconic.jpg
Cantaloupe	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Melon/Cantaloupe/Cantaloupe_Iconic.jpg
Galia-Melon	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Melon/Galia-Melon/Galia-Melon_Iconic.jpg
Honeydew-Melon	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Melon/Honeydew-Melon/Honeydew-Melon_Iconic.jpg
Watermelon	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Melon/Watermelon/Watermelon_Iconic.jpg
Orange	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Orange/Orange_Iconic.jpg
Nectarine	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Nectarine/Nectarine_Iconic.jpg
Papaya	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Papaya/Papaya_Iconic.jpg
Peach	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Peach/Peach_Iconic.jpg
Passion-Fruit	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Passion-Fruit/Passion-Fruit_Iconic.jpg
Anjou	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Pear/Anjou/Anjou_Iconic.jpg
Conference	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Pear/Conference/Conference_Iconic.jpg
Kaiser	Grocery	https://raw.githubusercontent.com/marcusklasson/GroceryStoreDataset/master/dataset/iconic-images-and-descriptions/Fruit/Pear/Kaiser/Kaiser_Iconic.jpg
Pineapple	Grocery	https://github.com/marcusklasson/GroceryStoreDataset/blob/master/dataset/iconic-images-and-descriptions/Fruit/Pineapple/Pineapple_Iconic.jpg
